turn_index,timestamp,sender,text
312,2026-05-19T22:00:25,Эвелина,воть
313,2026-05-19T22:04:54,Миша,😩
314,2026-05-19T22:12:10,Эвелина,из-за этого же от яиц все это время плохо было
315,2026-05-19T22:12:37,Эвелина,кто бы мне раньше это сказал
316,2026-05-19T22:12:51,Миша,эхх
317,2026-05-19T22:12:58,Миша,вотоно как
318,2026-05-19T22:49:05,Миша,че делаешь
319,2026-05-19T22:59:28,Миша,чет в голос
320,2026-05-19T23:43:52,Эвелина,вхвххахпхп
321,2026-05-19T23:44:10,Эвелина,фильм смотрели
322,2026-05-19T23:45:06,Эвелина,я груши приготовила печеные
323,2026-05-19T23:45:30,Эвелина,мб ленивые вареники сделать на утро
324,2026-05-19T23:45:55,Эвелина,"с другой стороны рил начну правильно питаться, это хорошо"
325,2026-05-19T23:46:04,Эвелина,"только за сыр с плесенью обидно, я его очень люблю"
326,2026-05-19T23:46:13,Эвелина,но может и можно будет кушать
327,2026-05-19T23:46:19,Эвелина,мне вроде не плохо от него
328,2026-05-19T23:46:25,Эвелина,ну просто от сыра мне не плохо
329,2026-05-19T23:46:35,Миша,да хуйня это все
330,2026-05-19T23:46:39,Миша,в плане
331,2026-05-19T23:46:45,Эвелина,нене не хуйн
332,2026-05-19T23:46:49,Миша,злоупотреблять не надо да
333,2026-05-19T23:46:49,Эвелина,я так не хочу больше
334,2026-05-19T23:46:56,Миша,но почучут можно будет все
335,2026-05-19T23:46:56,Эвелина,я злоупотребляла?
336,2026-05-19T23:47:18,Миша,тогда не было речи о злоупотреблении
337,2026-05-19T23:47:24,Миша,"сейчас, когда есть противопоказания"
338,2026-05-19T23:47:25,Миша,есть
339,2026-05-19T23:47:53,Эвелина,ну получается моё обычное потребление это злоупотребление
340,2026-05-19T23:48:16,Эвелина,а значит надо будет так или иначе менять питание
341,2026-05-19T23:48:34,Миша,видимо(
342,2026-05-19T23:48:37,Эвелина,"на ближайшие три месяца прям диета, а потом просто без шашлыков итд"
343,2026-05-19T23:51:00,Миша,😞
344,2026-05-19T23:51:25,Миша,да пох
345,2026-05-19T23:51:32,Миша,аваем творжок
