turn_index,timestamp,sender,text,joy,warmth,sadness,anger,anxiety,neutral
23,2026-05-19T02:06:27,Миша,8 просмотрел,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
24,2026-05-19T02:06:38,Эвелина,большие билеты?,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
25,2026-05-19T02:06:52,Эвелина,воскок гос,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
26,2026-05-19T02:06:58,Миша,9,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
27,2026-05-19T02:06:58,Эвелина,спать будешь,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
28,2026-05-19T02:07:00,Миша,хз,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
29,2026-05-19T02:07:03,Миша,надеюсь,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
30,2026-05-19T02:07:05,Эвелина,бля,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
31,2026-05-19T02:13:05,Эвелина,(если щас ваще нет времени можно не читать я просто так небольшой хихик кидаю),0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
32,2026-05-19T02:13:33,Миша,нихуя он умный,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
33,2026-05-19T02:13:36,Миша,agi,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
34,2026-05-19T02:13:40,Эвелина,дадад,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
35,2026-05-19T02:13:53,Миша,это гпт?,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
36,2026-05-19T02:14:02,Эвелина,дипсик,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
37,2026-05-19T02:14:06,Миша,ану,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
38,2026-05-19T02:14:08,Миша,не удивлен),0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
