turn_index,timestamp,sender,text,joy,warmth,sadness,anger,anxiety,surprise,neutral
182,2026-05-19T02:57:06,Миша,ты когда спать?,0.012172721892027793,0.010993172846188169,0.011003678806109491,0.022378008503688197,0.009381496640973222,0.4883295003284953,0.44574142098251773
183,2026-05-19T02:57:32,Эвелина,через час гдет максимум,0.07610853930815001,0.0038818678585207495,0.006360911486635988,0.01402256006245586,0.0013208697066867323,0.01865180501350016,0.8796534465640505
184,2026-05-19T02:57:35,Миша,оке,0.18790868771910108,0.025419728548973963,0.002442398151379978,0.01190056069455335,0.0009873296805671694,0.018022382825528753,0.7533189123798958
185,2026-05-19T02:57:44,Эвелина,<3,0.02302064775167713,0.003168225776243081,0.0037740184643138457,0.012893917620791477,0.002036432461316612,0.013082968325373081,0.9420237896002848
186,2026-05-19T02:57:46,Миша,спокойной тада,0.4107970890485222,0.07257058623559508,0.01516986967092798,0.006862257312007449,0.0042929836525957025,0.008944626828335096,0.48136258725201625
187,2026-05-19T02:57:48,Миша,❤️,0.03233666016649597,0.0029654130355781408,0.005545468386313712,0.015098483402805686,0.002035324841105978,0.01946365508623994,0.9225549950814605
188,2026-05-19T02:57:48,Эвелина,я тебя люблю,0.07104695970584525,0.91043685477047,0.0015161990707787086,0.002672500888274845,0.0023407178639787587,0.002386204436281416,0.009600563264371057
189,2026-05-19T02:57:51,Эвелина,доброй ночки,0.5267618384863564,0.04511225161760381,0.006642756483522716,0.02329761079453246,0.0013698472970812578,0.004733255405008079,0.3920824399158953
190,2026-05-19T02:58:07,Эвелина,сил завтра,0.13590173938452166,0.006666986310811078,0.01003293005122225,0.019226575699566262,0.002962343102405389,0.01287008469876613,0.8123393407527073
191,2026-05-19T02:58:19,Эвелина,и удачного билета,0.8433681786330756,0.029941714223570427,0.004341572219708442,0.003407434418390136,0.000986444893994556,0.009510713073824699,0.10844394253743624
192,2026-05-19T02:58:31,Миша,"cgfcb,b, ❤️",0.024196013071373673,0.003889534974063835,0.003859320200199197,0.010848945326699173,0.0017585623761248667,0.01176222657056571,0.9436853974809736
193,2026-05-19T02:58:34,Миша,я тоже,0.13083140741072674,0.008816377932858065,0.0035146018021215667,0.011076599637646956,0.0022277491122075304,0.03451676338557595,0.8090165007188632
194,2026-05-19T02:58:37,Миша,спасибао,0.13396469941141198,0.19698692914155133,0.04889912228196023,0.01207060330976764,0.012517509126777187,0.0075390019135590305,0.5880221348149727
195,2026-05-19T02:58:41,Миша,ыывапывлажпыапопоп,0.011402440199928268,0.004061023124168062,0.008325287326311005,0.01722193506976979,0.005400571418207253,0.012306760170613565,0.9412819826910019
196,2026-05-19T13:54:33,Эвелина,ну как?,0.0175910203428398,0.0058153185258899,0.00380316663199791,0.027300773837009486,0.0034166070394482015,0.5154229077595,0.42665020586331476
197,2026-05-19T13:58:52,Миша,бля ну там забавно,0.9582254426359725,0.003660702118234145,0.0035198287552917957,0.008775888482417532,0.001793688993613257,0.011006480198080648,0.013017968816390248
198,2026-05-19T13:59:01,Миша,был 1 фейкер,0.016022542314513902,0.001288713354921502,0.024106104573222473,0.23727821790170797,0.013438893048939965,0.03740652464744711,0.6704590041592471
199,2026-05-19T13:59:03,Миша,факер,0.030854219219827315,0.002164706844266939,0.004959261941180158,0.017347026732864347,0.0042278108357192805,0.008829654317632933,0.9316173201085091
200,2026-05-19T13:59:13,Миша,я случайно к нему сам пошел на +w,0.05214587773204695,0.008774301782404792,0.02727384950831533,0.012526451416599683,0.014914384929098117,0.12667416762986447,0.7576909670016707
201,2026-05-19T13:59:27,Эвелина,окак,0.1198666422198448,0.003548356767813594,0.0032460189734672047,0.01167963047340384,0.0012643984641746103,0.016809572138804078,0.8435853809624919
202,2026-05-19T14:02:39,Эвелина,как же ахуенен,0.2220998235458807,0.0026152896606424134,0.021004815999309784,0.1055111355714764,0.005757309483572387,0.19311773766341306,0.4498938880757052
203,2026-05-19T14:02:45,Эвелина,поздравляю!!,0.5006913116594223,0.4613580967661478,0.0032964762822539164,0.002363821850121433,0.002241018568691852,0.003949031991761838,0.026100242881600885
204,2026-05-19T14:07:41,Миша,угу,0.03053375113931239,0.002457931291820441,0.0054256526688388085,0.11515880325976606,0.002388199172245557,0.030299840859814898,0.8137358216082018
